range,posture,start,end,
90,Lying,4972177,4972606,
90,Lying,4972177,4972619,
90,Lying,4972177,4972630,
90,Lying,4972177,4972646,
90,Lying,4972177,4972659,
90,Lying,4972177,4972675,
90,Lying,4972177,4972688,
90,Lying,4972177,4972701,
90,Lying,4972177,4972717,
90,Lying,4972177,4972728,
90,Lying,4972177,4972741,
90,Lying,4972177,4972756,
90,Lying,4972177,4972770,
90,Lying,4972177,4972785,
90,Lying,4972177,4972798,
90,Lying,4972177,4972815,
90,Lying,4972177,4972827,
90,Lying,4972177,4972838,
90,Lying,4972177,4972857,
90,Lying,4972177,4972867,
90,Lying,4972177,4972886,
90,Lying,4972177,4972896,
90,Lying,4972177,4972909,
90,Lying,4972177,4972925,
90,Lying,4972177,4972939,
90,Lying,4972177,4972954,
90,Lying,4972177,4972978,
90,Lying,4972177,4972996,
90,Lying,4972177,4973006,
90,Lying,4972177,4973020,
90,Lying,4972177,4973036,
90,Lying,4972177,4973049,
90,Lying,4972177,4973065,
90,Lying,4972177,4973078,
90,Lying,4972177,4973088,
90,Lying,4972177,4973105,
90,Lying,4972177,4973118,
90,Lying,4972177,4973130,
90,Lying,4972177,4973147,
90,Lying,4972177,4973160,
90,Lying,4972177,4973175,
90,Lying,4972177,4973189,
90,Lying,4972177,4973204,
90,Lying,4972177,4973215,
90,Lying,4972177,4973229,
90,Lying,4972177,4973244,
90,Lying,4972177,4973257,
90,Lying,4972177,4973273,
90,Lying,4972177,4973286,
90,Lying,4972177,4973299,
90,Lying,4972177,4973316,
90,Lying,4972177,4973326,
90,Lying,4972177,4973339,
90,Lying,4972177,4973355,
90,Lying,4972177,4973368,
90,Lying,4972177,4973383,
90,Lying,4972177,4973396,
90,Lying,4972177,4973410,
90,Lying,4972177,4973426,
90,Lying,4972177,4973436,
90,Lying,4972177,4973455,
90,Lying,4972177,4973465,
90,Lying,4972177,4973481,
90,Lying,4972177,4973495,
90,Lying,4972177,4973507,
0,Lying,5051622,5051635,
0,Lying,5051622,5051651,
0,Lying,5051622,5051664,
0,Lying,5051622,5051675,
0,Lying,5051622,5051691,
0,Lying,5051622,5051704,
0,Lying,5051622,5051719,
0,Lying,5051622,5051732,
0,Lying,5051622,5051746,
0,Lying,5051622,5051762,
0,Lying,5051622,5051772,
0,Lying,5051622,5051791,
0,Lying,5051622,5051801,
0,Lying,5051622,5051817,
0,Lying,5051622,5051830,
0,Lying,5051622,5051843,
0,Lying,5051622,5051859,
0,Lying,5051622,5051873,
0,Lying,5051622,5051883,
0,Lying,5051622,5051901,
0,Lying,5051622,5051912,
0,Lying,5051622,5051928,
0,Lying,5051622,5051941,
0,Lying,5051622,5051954,
0,Lying,5051622,5051970,
0,Lying,5051622,5051983,
0,Lying,5051622,5051999,
0,Lying,5051622,5052012,
0,Lying,5051622,5052022,
0,Lying,5051622,5052041,
0,Lying,5051622,5052052,
0,Lying,5051622,5052067,
0,Lying,5051622,5052081,
0,Lying,5051622,5052094,
0,Lying,5051622,5052109,
0,Lying,5051622,5052123,
0,Lying,5051622,5052138,
0,Lying,5051622,5052149,
0,Lying,5051622,5052163,
0,Lying,5051622,5052178,
0,Lying,5051622,5052191,
0,Lying,5051622,5052205,
0,Lying,5051622,5052220,
0,Lying,5051622,5052250,
0,Lying,5051622,5052260,
0,Lying,5051622,5052289,
0,Lying,5051622,5052302,
0,Lying,5051622,5052315,
0,Lying,5051622,5052334,
0,Lying,5051622,5052360,
0,Lying,5051622,5052370,
0,Lying,5051622,5052384,
0,Lying,5051622,5052399,
0,Lying,5051622,5052412,
0,Lying,5051622,5052429,
0,Lying,5051622,5052441,
0,Lying,5051622,5052452,
0,Lying,5051622,5052471,
0,Lying,5051622,5052481,
0,Lying,5051622,5052494,
0,Lying,5051622,5052510,
0,Lying,5051622,5052523,
0,Lying,5051622,5052539,
0,Lying,5051622,5052552,
0,Lying,5051622,5052563,
0,Lying,5051622,5052581,
0,Lying,5051622,5052592,
0,Lying,5051622,5052610,
0,Lying,5051622,5052620,
0,Lying,5051622,5052634,
0,Lying,5051622,5052650,
0,Lying,5051622,5052663,
0,Lying,5051622,5052679,
0,Lying,5051622,5052692,
0,Lying,5051622,5052702,
0,Lying,5051622,5052719,
0,Lying,5051622,5052731,
0,Lying,5051622,5052747,
0,Lying,5051622,5052761,
0,Lying,5051622,5052774,
0,Lying,5051622,5052789,
0,Lying,5051622,5052803,
0,Lying,5051622,5052813,
0,Lying,5051622,5052829,
0,Lying,5051622,5052843,
0,Lying,5051622,5052858,
0,Lying,5051622,5052871,
0,Lying,5051622,5052884,
0,Lying,5051622,5052900,
0,Lying,5051622,5052913,
0,Lying,5051622,5052929,
0,Lying,5051622,5052940,
0,Lying,5051622,5052953,
0,Lying,5051622,5052968,
0,Lying,5051622,5052982,
0,Lying,5051622,5052995,
0,Lying,5051622,5053010,
0,Lying,5051622,5053022,
0,Lying,5051622,5053040,
0,Lying,5051622,5053050,
0,Lying,5051622,5053064,
0,Lying,5051622,5053079,
0,Lying,5051622,5053092,
0,Lying,5051622,5053108,
0,Lying,5051622,5053121,
0,Lying,5051622,5053137,
0,Lying,5051622,5053151,
0,Lying,5051622,5053161,
0,Lying,5051622,5053174,
0,Lying,5051622,5053190,
0,Lying,5051622,5053203,
0,Lying,5051622,5053232,
0,Lying,5051622,5053248,
0,Lying,5051622,5053261,
0,Lying,5051622,5053272,
0,Lying,5051622,5053290,
0,Lying,5051622,5053300,
0,Lying,5051622,5053314,
0,Lying,5051622,5053330,
0,Lying,5051622,5053342,
0,Lying,5051622,5053353,
0,Lying,5051622,5053372,
0,Lying,5051622,5053382,
0,Lying,5051622,5053399,
0,Lying,5051622,5053411,
0,Lying,5051622,5053427,
0,Lying,5051622,5053440,
0,Lying,5051622,5053457,
0,Lying,5051622,5053470,
0,Lying,5051622,5053480,
0,Lying,5051622,5053493,
0,Lying,5051622,5053511,
0,Lying,5051622,5053521,
0,Lying,5051622,5053539,
0,Lying,5051622,5053552,
0,Lying,5051622,5053562,
0,Lying,5051622,5053580,
0,Lying,5051622,5053592,
0,Lying,5051622,5053607,
0,Lying,5051622,5053621,
0,Lying,5051622,5053636,
0,Lying,5051622,5053648,
0,Lying,5051622,5053662,
0,Lying,5051622,5053678,
0,Lying,5051622,5053690,
0,Lying,5051622,5053702,
0,Lying,5057356,5057372,
0,Lying,5057356,5057385,
0,Lying,5057356,5057395,
0,Lying,5057356,5057412,
0,Lying,5057356,5057425,
0,Lying,5057356,5057440,
0,Lying,5057356,5057454,
0,Lying,5057356,5057467,
0,Lying,5057356,5057482,
0,Lying,5057356,5057496,
0,Lying,5057356,5057512,
0,Lying,5057356,5057522,
0,Lying,5057356,5057536,
0,Lying,5057356,5057551,
0,Lying,5057356,5057564,
0,Lying,5057356,5057577,
0,Lying,5057356,5057593,
0,Lying,5057356,5057604,
0,Lying,5057356,5057623,
0,Lying,5057356,5057633,
0,Lying,5057356,5057646,
0,Lying,5057356,5057661,
0,Lying,5057356,5057675,
0,Lying,5057356,5057691,
0,Lying,5057356,5057703,
0,Lying,5057356,5057715,
0,Lying,5057356,5057733,
0,Lying,5057356,5057743,
0,Lying,5057356,5057757,
0,Lying,5057356,5057772,
0,Lying,5057356,5057785,
0,Lying,5057356,5057802,
0,Lying,5057356,5057815,
0,Lying,5057356,5057830,
0,Lying,5057356,5057844,
0,Lying,5057356,5057854,
0,Lying,5057356,5057872,
0,Lying,5057356,5057883,
0,Lying,5057356,5057896,
0,Lying,5057356,5057912,
0,Lying,5057356,5057926,
0,Lying,5057356,5057941,
0,Lying,5057356,5057954,
0,Lying,5057356,5057965,
0,Lying,5057356,5057981,
0,Lying,5057356,5057993,
0,Lying,5057356,5058007,
0,Lying,5057356,5058023,
0,Lying,5057356,5058036,
0,Lying,5057356,5058052,
0,Lying,5057356,5058065,
0,Lying,5057356,5058075,
0,Lying,5057356,5058092,
0,Lying,5057356,5058105,
0,Lying,5057356,5058120,
0,Lying,5057356,5058134,
0,Lying,5057356,5058147,
0,Lying,5057356,5058162,
0,Lying,5057356,5058176,
0,Lying,5057356,5058191,
0,Lying,5057356,5058202,
0,Lying,5057356,5058215,
0,Lying,5057356,5058231,
0,Lying,5057356,5058244,
