time, Pitch, Yaw, Roll
9.809683, -16.11054, 5.657869, -1.496979
9.837313, -16.9342, 5.302748, -1.490166
9.864784, -17.70296, 4.861315, -1.472862
9.893818, -18.41091, 4.365876, -1.418307
9.920796, -19.18388, 3.859351, -1.295733
9.948717, -19.96931, 3.248476, -1.177527
9.976846, -20.749, 2.558644, -0.992881
10.00513, -21.53702, 1.796567, -0.7530347
10.03241, -22.3712, 0.9793876, -0.4735395
10.05982, -23.30755, 0.166689, -0.1136409
10.08689, -24.34217, -0.7195491, 0.2832403
10.11578, -25.53102, -1.581648, 0.7265852
10.14315, -26.7881, -2.489393, 1.2116
10.17127, -28.09736, -3.409615, 1.722151
10.19899, -29.52057, -4.280296, 2.273484
10.2274, -30.99691, -5.145137, 2.836004
10.25465, -32.46222, -5.919636, 3.448725
10.28224, -33.83527, -6.683222, 4.040699
10.31012, -35.04703, -7.474594, 4.594058
10.33727, -36.16519, -8.139044, 5.180772
10.36546, -37.05963, -8.860003, 5.675093
10.39303, -37.75874, -9.639921, 6.184025
10.42133, -38.31237, -10.54912, 6.667916
10.44998, -38.66826, -11.60271, 7.135342
10.47712, -38.87672, -12.72244, 7.660013
10.50462, -38.96258, -14.00167, 8.092986
10.53267, -38.98162, -15.31787, 8.577576
10.56, -38.99032, -16.66848, 9.039573
10.58788, -38.8519, -18.05814, 9.515188
10.61589, -38.59751, -19.36788, 9.952361
10.64386, -38.35595, -20.62245, 10.31593
10.6725, -38.09185, -21.73898, 10.73101
10.699, -37.81053, -22.67367, 11.05157
10.72712, -37.53784, -23.48919, 11.30751
10.75512, -37.27581, -24.16272, 11.56412
10.78246, -37.05363, -24.71139, 11.71528
10.81048, -36.90269, -25.10037, 11.86081
10.83807, -36.82535, -25.32878, 11.99332
10.8654, -36.74656, -25.51705, 12.06686
10.89462, -36.6949, -25.70589, 12.10958
10.92158, -36.66714, -25.91126, 12.17121
10.94937, -36.59374, -26.23286, 12.21721
10.97708, -36.45211, -26.61722, 12.24724
11.00472, -36.24092, -27.04403, 12.27922
11.03239, -35.89742, -27.60617, 12.27199
11.06034, -35.49538, -28.22699, 12.2957
11.08859, -35.11124, -28.87735, 12.35671
11.11745, -34.70803, -29.44366, 12.46513
11.1437, -34.31486, -29.89982, 12.56567
11.17167, -33.8738, -30.35521, 12.66462
11.19935, -33.39243, -30.81489, 12.72295
11.2269, -32.91439, -31.31591, 12.7695
11.25545, -32.46177, -31.78837, 12.85524
11.28304, -32.06009, -32.22988, 12.90604
11.31194, -31.72017, -32.64869, 12.99283
11.33893, -31.47768, -33.04321, 13.07217
11.36539, -31.31622, -33.44604, 13.18612
11.39375, -31.20738, -33.90742, 13.33914
11.42181, -31.14538, -34.34017, 13.50432
11.45449, -31.17966, -34.73634, 13.70187
11.48007, -31.24851, -35.10896, 13.94287
11.51296, -31.32251, -35.46249, 14.19227
11.53832, -31.40845, -35.83876, 14.43345
11.56697, -31.51365, -36.17462, 14.69611
11.59487, -31.5671, -36.51501, 14.92001
11.62394, -31.62958, -36.8456, 15.13003
11.64233, -31.70913, -37.11754, 15.32424
11.67625, -31.74378, -37.39378, 15.50404
11.69631, -31.79049, -37.68177, 15.66727
11.72408, -31.82566, -37.96279, 15.83431
11.75326, -31.81332, -38.24873, 15.95505
11.78186, -31.75881, -38.52156, 16.06334
11.80952, -31.6459, -38.79399, 16.13611
11.83653, -31.49431, -39.05633, 16.11356
11.86493, -31.3185, -39.28224, 16.1309
11.89463, -31.16576, -39.46045, 16.09658
11.92049, -31.01455, -39.60785, 16.07645
11.94761, -30.8397, -39.7252, 16.08616
11.97588, -30.62754, -39.85029, 16.03529
12.00329, -30.38811, -39.99606, 15.98472
12.03161, -30.14151, -40.11137, 15.95057
12.059, -29.9029, -40.21671, 15.91836
12.08676, -29.66934, -40.33737, 15.87757
12.11548, -29.50678, -40.4164, 15.86824
12.1427, -29.36409, -40.52809, 15.90584
12.17134, -29.24185, -40.65935, 15.94665
12.19899, -29.15037, -40.83136, 16.00602
12.22692, -29.08554, -41.06715, 16.12341
12.25439, -29.08965, -41.30131, 16.31255
12.28135, -29.09921, -41.58757, 16.52365
12.30954, -29.04556, -41.91799, 16.74882
12.33735, -29.01488, -42.27281, 16.95672
12.36544, -28.91543, -42.68585, 17.17881
12.39328, -28.82355, -43.05696, 17.38612
12.42113, -28.73828, -43.40223, 17.54597
12.44905, -28.59938, -43.74416, 17.70129
12.4767, -28.50162, -44.03489, 17.85403
12.50397, -28.37361, -44.32659, 18.0104
12.53223, -28.24389, -44.55214, 18.14128
12.55993, -28.13922, -44.72278, 18.24595
12.58789, -28.01579, -44.86013, 18.32855
12.61707, -27.92796, -44.96365, 18.37853
12.64392, -27.83536, -45.06436, 18.41395
12.6709, -27.74216, -45.12827, 18.44809
12.6986, -27.67407, -45.18483, 18.44791
12.72647, -27.59337, -45.23789, 18.45142
12.75408, -27.54421, -45.27628, 18.45234
