Direction,Count,Time,TrunkPolar,TrunkAzimuth,TrunkPolar,TrunkAzimuth
135,1,8.506693,7.855274,68.30091,0,0,
135,1,8.53545,7.078338,66.53262,0,0,
135,1,8.563247,7.836827,65.47153,0,0,
135,1,8.590977,7.57705,63.43828,0,0,
135,1,8.619602,7.119958,62.99939,0,0,
135,1,8.647619,7.972548,62.71875,0,0,
135,1,8.676068,9.454312,62.54962,0,0,
135,1,8.70335,10.2983,62.70288,0,0,
135,1,8.730739,12.54063,62.26959,0,0,
135,1,8.758615,14.99125,61.15513,0,0,
135,1,8.786566,17.50357,61.46558,0,0,
135,1,8.814554,21.77936,61.10864,0,0,
135,1,8.842937,23.75525,59.81412,0,0,
135,1,8.869049,25.83965,59.35825,0,0,
135,1,8.897412,27.7608,58.32032,0,0,
135,1,8.925718,28.35258,57.46976,0,0,
135,1,8.953442,29.09739,56.86015,0,0,
135,1,8.981438,28.86604,56.65641,0,0,
135,1,9.009522,29.34033,55.79482,0,0,
135,1,9.037227,29.26261,54.92534,0,0,
135,1,9.064427,29.76673,54.84584,0,0,
135,1,9.092538,31.47975,54.22802,0,0,
135,1,9.120049,31.25204,53.04251,0,0,
135,1,9.147825,30.99298,52.4982,0,0,
135,1,9.176104,31.66111,51.88594,0,0,
135,1,9.203881,31.17437,51.2239,0,0,
135,1,9.231137,31.16628,51.17388,0,0,
135,1,9.259594,30.98948,50.99134,0,0,
135,1,9.287426,30.42925,50.89974,0,0,
135,1,9.315178,30.24832,51.08469,0,0,
135,1,9.342507,29.82631,50.66385,0,0,
135,1,9.370312,29.06364,50.29789,0,0,
135,1,9.398552,29.10256,49.64416,0,0,
135,1,9.426662,28.98386,48.58156,0,0,
135,1,9.454253,29.14105,48.14721,0,0,
135,1,9.481637,29.27113,47.66764,0,0,
135,1,9.509127,29.46139,46.73543,0,0,
135,1,9.537669,29.47515,46.15216,0,0,
135,1,9.566159,29.51168,45.48851,0,0,
135,1,9.592797,29.89481,44.69638,0,0,
135,1,9.62045,29.97366,44.17364,0,0,
135,1,9.648127,30.06209,43.64061,0,0,
135,1,9.676965,30.50468,42.88607,0,0,
135,1,9.704182,30.62565,42.31356,0,0,
135,1,9.73167,30.88519,41.66208,0,0,
135,1,9.759624,31.02367,41.13651,0,0,
135,1,9.787176,31.24124,40.60401,0,0,
135,1,9.817101,31.82574,40.04436,0,0,
135,1,9.845138,31.95352,39.278,0,0,
135,1,9.870693,31.96756,38.58799,0,0,
135,2,14.07928,-0.4813893,70.86317,0,0,
135,2,14.10721,-0.4303315,70.56986,0,0,
135,2,14.13426,-0.5028951,70.68817,0,0,
135,2,14.16296,-0.4236813,70.74744,0,0,
135,2,14.20559,-0.3927431,70.6132,0,0,
135,2,14.23155,-0.4276986,70.9834,0,0,
135,2,14.25921,-0.6462476,70.70822,0,0,
135,2,14.28762,-0.1251469,70.80421,0,0,
135,2,14.31561,0.1824472,70.99517,0,0,
135,2,14.34281,-0.1604805,70.59353,0,0,
135,2,14.37136,0.1515706,71.25102,0,0,
135,2,14.39872,0.3802011,71.94044,0,0,
135,2,14.42744,0.4560108,71.99183,0,0,
135,2,14.45674,0.5834789,72.22971,0,0,
135,2,14.48275,0.3497603,72.19736,0,0,
135,2,14.50881,0.9249215,72.46513,0,0,
135,2,14.53692,0.901798,73.0272,0,0,
135,2,14.56472,1.903079,72.82401,0,0,
