Direction,tCount,Time,HeadPolar,HeadAzimuth,TrunkPolar,TrunkAzimuth
225,3,95.50589,-35.44765,58.94226,0,0,
225,3,95.53328,-35.36641,56.58338,0,0,
225,3,95.56244,-35.29243,54.31819,0,0,
225,3,95.5886,-35.3512,52.28475,0,0,
225,3,95.61658,-35.7891,50.66431,0,0,
225,3,95.64436,-36.38369,48.95267,0,0,
225,3,95.67201,-36.93501,47.38356,0,0,
225,3,95.69984,-37.87931,46.13139,0,0,
225,3,95.72771,-38.914,44.75675,0,0,
225,3,95.75581,-40.42764,43.51322,0,0,
225,3,95.78368,-42.19124,42.13595,0,0,
225,3,95.81133,-43.67287,40.72559,0,0,
225,3,95.83936,-44.98817,39.33717,0,0,
225,3,95.86691,-46.04155,38.07864,0,0,
225,3,95.89471,-46.76168,37.01269,0,0,
225,3,95.92261,-47.34611,36.17687,0,0,
0,1,110.7165,-25.64371,76.64207,0,0,
0,1,110.7438,-25.64602,76.63366,0,0,
0,1,110.7698,-25.73791,76.64438,0,0,
0,1,110.7967,-25.77111,76.64465,0,0,
0,1,110.8243,-25.71606,76.63112,0,0,
0,1,110.8519,-25.66204,76.62514,0,0,
0,1,110.8798,-25.63664,76.63477,0,0,
0,1,110.9078,-25.64449,76.6404,0,0,
0,1,110.9363,-25.6797,76.65178,0,0,
0,1,110.9635,-25.6596,76.6298,0,0,
0,1,110.9908,-25.62395,76.62866,0,0,
0,1,111.0212,-25.6615,76.6515,0,0,
0,1,111.0619,-25.69205,76.65165,0,0,
0,1,111.0888,-25.69088,76.66147,0,0,
0,1,111.1174,-25.65757,76.63243,0,0,
0,1,111.1443,-25.74619,76.62492,0,0,
0,1,111.1714,-25.85666,76.63,0,0,
0,1,111.1995,-25.97468,76.64587,0,0,
0,1,111.2272,-26.00862,76.64496,0,0,
0,1,111.2555,-25.93419,76.60764,0,0,
0,1,111.2829,-25.98346,76.61907,0,0,
0,1,111.3111,-25.78097,76.62067,0,0,
0,1,111.3377,-25.5242,76.6276,0,0,
0,1,111.3659,-25.10175,76.68866,0,0,
0,1,111.3936,-24.11675,76.78992,0,0,
0,1,111.4213,-23.1745,76.90936,0,0,
0,1,111.4491,-21.79134,77.04165,0,0,
0,1,111.4773,-19.94091,77.29163,0,0,
0,1,111.5049,-17.69614,77.44617,0,0,
0,1,111.5327,-14.75929,77.62882,0,0,
0,1,111.5605,-11.31472,77.84811,0,0,
0,1,111.5877,-7.616029,78.20364,0,0,
0,1,111.6162,-3.187804,78.55635,0,0,
0,1,111.6438,1.655783,78.58749,0,0,
0,1,111.6715,7.83267,78.57916,0,0,
0,1,111.6994,13.96229,78.45312,0,0,
0,1,111.727,20.49739,78.00469,0,0,
0,1,111.7551,27.23648,77.47261,0,0,
0,1,111.7829,33.56742,76.70511,0,0,
0,1,111.8102,39.5262,75.64854,0,0,
0,1,111.8391,45.04589,74.37106,0,0,
0,1,111.8666,49.58459,72.98963,0,0,
0,1,111.894,54.04665,71.36764,0,0,
0,1,111.9219,58.0571,69.52862,0,0,
0,1,111.9491,60.75987,67.89812,0,0,
0,1,111.9776,63.25827,66.03761,0,0,
0,1,112.0052,65.09954,64.28848,0,0,
0,1,112.0339,66.7608,62.73551,0,0,
0,1,112.0602,68.15356,61.11248,0,0,
0,1,112.0881,69.12856,59.98449,0,0,
0,1,112.1162,70.26209,58.48397,0,0,
0,1,112.144,71.30373,57.10939,0,0,
0,1,112.1714,71.96496,56.23112,0,0,
0,1,112.1994,73.13675,55.11855,0,0,
0,1,112.2276,74.21531,54.00077,0,0,
0,1,112.2557,75.33154,52.91439,0,0,
0,1,112.2833,76.31966,51.89563,0,0,
0,1,112.3108,77.49216,51.03597,0,0,
0,1,112.3389,78.49901,49.98871,0,0,
0,1,112.3666,79.36301,48.90962,0,0,
0,1,112.3946,80.16842,47.75163,0,0,
0,1,112.4223,80.99052,46.95468,0,0,
0,1,112.45,81.50085,45.81711,0,0,
0,1,112.4779,82.16624,44.9522,0,0,
0,1,112.5059,82.61548,44.22294,0,0,
0,1,112.5335,82.75913,43.74871,0,0,
0,1,112.5614,83.10289,43.05753,0,0,
0,1,112.589,83.36548,42.47017,0,0,
0,1,112.6169,83.56242,42.12955,0,0,
0,1,112.6448,83.5546,42.03559,0,0,
0,1,112.6726,83.31269,41.96001,0,0,
0,1,112.7006,83.09026,41.9506,0,0,
0,1,112.7281,82.98082,41.90454,0,0,
0,1,112.7567,82.86627,41.81921,0,0,
0,1,112.7839,82.73521,41.90465,0,0,
