time, Pitch, Yaw, Roll
4.838139, -8.215659, -1.154197, -2.749582
4.864991, -7.923724, -1.280542, -2.258194
4.892884, -7.673017, -1.39072, -1.797874
4.921549, -7.466293, -1.486221, -1.381119
4.950878, -7.271059, -1.57458, -0.9958329
4.978148, -7.110554, -1.658238, -0.6413296
5.005878, -6.998099, -1.742823, -0.3351346
5.033834, -6.92835, -1.828741, -0.08622923
5.062045, -6.900778, -1.910084, 0.1065312
5.089984, -6.885327, -1.98948, 0.2502292
5.116736, -6.89253, -2.05214, 0.3414966
5.143909, -6.888545, -2.09415, 0.3971285
5.17097, -6.900835, -2.118772, 0.4191812
5.198121, -6.906687, -2.133683, 0.4173099
5.22673, -6.926284, -2.148036, 0.3916712
5.254835, -6.928606, -2.169162, 0.364769
5.282077, -6.936697, -2.197043, 0.3189811
5.309529, -6.940401, -2.23248, 0.2646699
5.3366, -6.933303, -2.270899, 0.2065338
5.36531, -6.916138, -2.314522, 0.1426525
5.39296, -6.888089, -2.357255, 0.08392937
5.41989, -6.854235, -2.384744, 0.03426402
5.448007, -6.79659, -2.396126, 0
5.475361, -6.715861, -2.38458, -0.01978234
5.503443, -6.642486, -2.353017, -0.04423466
5.531862, -6.562798, -2.29891, -0.05233916
5.558513, -6.496096, -2.223256, -0.07912937
5.586592, -6.419549, -2.145757, -0.09691329
5.614274, -6.345203, -2.066302, -0.1083524
5.64275, -6.270823, -1.984654, -0.1170339
5.671101, -6.199382, -1.908033, -0.1251145
5.697919, -6.142769, -1.836643, -0.1341704
5.726469, -6.098408, -1.77233, -0.1398823
5.7532, -6.065692, -1.719081, -0.1480375
5.78146, -6.052945, -1.689339, -0.1607126
5.810517, -6.038516, -1.682257, -0.1758294
5.837445, -6.018159, -1.682606, -0.1845175
5.866115, -5.999727, -1.675029, -0.1758294
5.895913, -5.9926, -1.65694, -0.1570175
5.924422, -5.975927, -1.635662, -0.1235407
5.955593, -5.957826, -1.621361, -0.07661668
5.99469, -5.929397, -1.612284, 0
6.033577, -5.891523, -1.608152, 0.1008706
6.062378, -5.846972, -1.597284, 0.2074791
6.090829, -5.783876, -1.574704, 0.3322025
6.119191, -5.70317, -1.545857, 0.4788812
6.147802, -5.618659, -1.517235, 0.6528208
6.187527, -5.52705, -1.488721, 0.8731248
6.216593, -5.468305, -1.463799, 1.074108
6.245739, -5.439092, -1.456159, 1.248978
6.285675, -5.436965, -1.454546, 1.398438
6.313077, -5.439164, -1.458442, 1.545604
6.339883, -5.435416, -1.463799, 1.684931
6.365134, -5.429211, -1.460453, 1.811213
6.392721, -5.426395, -1.460185, 1.909776
6.420073, -5.423071, -1.455756, 1.982976
6.448958, -5.412075, -1.451718, 2.027772
6.475462, -5.395103, -1.447938, 2.060136
6.503341, -5.3725, -1.43967, 2.073582
6.531511, -5.342655, -1.432175, 2.078955
6.558909, -5.305408, -1.422991, 2.074903
6.587388, -5.252215, -1.419411, 2.081025
6.614799, -5.199158, -1.413332, 2.097045
6.64194, -5.156549, -1.408616, 2.123846
6.671264, -5.107145, -1.402211, 2.157854
6.697991, -5.057878, -1.377714, 2.180142
6.725875, -4.997046, -1.343338, 2.19927
6.754031, -4.943477, -1.285423, 2.205845
6.780796, -4.885114, -1.21402, 2.216997
6.809808, -4.833267, -1.135049, 2.246812
6.837412, -4.79518, -1.045676, 2.299761
6.864565, -4.758723, -0.9596078, 2.382692
6.892686, -4.727458, -0.864793, 2.494342
6.92027, -4.698863, -0.7607903, 2.624877
6.949529, -4.644647, -0.6391903, 2.782067
6.97528, -4.582147, -0.4941643, 2.941978
7.003724, -4.491654, -0.3357179, 3.113825
7.0332, -4.417964, -0.14537, 3.249139
7.060503, -4.332054, 0.06255726, 3.374871
7.088515, -4.256896, 0.2846186, 3.470119
7.114595, -4.201977, 0.530449, 3.544311
7.142775, -4.161983, 0.7717707, 3.620013
7.17081, -4.144962, 1.01818, 3.699147
7.197946, -4.151996, 1.249918, 3.788221
7.225441, -4.187223, 1.470868, 3.903746
7.253495, -4.255699, 1.681908, 4.024674
7.280834, -4.355681, 1.887097, 4.17021
7.310147, -4.477766, 2.096859, 4.325539
7.336627, -4.604237, 2.308849, 4.475884
7.363984, -4.735117, 2.518861, 4.624613
7.392211, -4.8568, 2.732586, 4.757734
7.41965, -4.974687, 2.945037, 4.891206
7.448129, -5.097699, 3.166381, 5.022505
7.476303, -5.225698, 3.396729, 5.146736
7.50317, -5.357049, 3.64266, 5.260193
7.531302, -5.481728, 3.877372, 5.353683
7.558262, -5.615135, 4.112898, 5.434875
7.586929, -5.761331, 4.34023, 5.536792
7.614044, -5.919736, 4.563256, 5.653225
7.641599, -6.087243, 4.776145, 5.773531
7.670072, -6.266445, 4.979293, 5.904982
7.697324, -6.456523, 5.162169, 6.041242
7.725518, -6.653666, 5.306442, 6.187955
7.753411, -6.850055, 5.414573, 6.333511
7.780551, -7.037735, 5.496258, 6.476688
7.808909, -7.205546, 5.55679, 6.61346
7.836222, -7.349163, 5.595206, 6.733331
7.865408, -7.461509, 5.630681, 6.821161
7.891946, -7.546211, 5.67896, 6.889485
7.919658, -7.606794, 5.734563, 6.927246
7.949879, -7.639694, 5.772445, 6.954517
7.978598, -7.657143, 5.807853, 6.962382
8.005116, -7.670356, 5.853036, 6.978338
8.031238, -7.68342, 5.908898, 6.99723
8.059311, -7.690313, 5.981206, 7.021186
8.087536, -7.698501, 6.072153, 7.049293
8.114303, -7.707342, 6.186656, 7.077176
8.142049, -7.724385, 6.332923, 7.115822
8.170345, -7.749295, 6.502191, 7.163714
8.197096, -7.778393, 6.683515, 7.214118
8.225158, -7.80444, 6.870155, 7.254066
8.252917, -7.825438, 7.047817, 7.28276
8.280557, -7.847555, 7.207888, 7.300653
8.309324, -7.882843, 7.366869, 7.322898
8.336268, -7.936992, 7.518961, 7.360954
8.364082, -8.006434, 7.656938, 7.417065
8.392275, -8.092186, 7.791175, 7.500513
8.423864, -8.192421, 7.913238, 7.602433
8.450167, -8.299643, 8.040932, 7.711721
8.475323, -8.411531, 8.183142, 7.814595
8.503039, -8.518597, 8.344851, 7.906712
8.531018, -8.621541, 8.526709, 7.985074
8.558814, -8.720757, 8.724, 8.053641
8.586576, -8.82165, 8.922466, 8.13067
8.613771, -8.933866, 9.145572, 8.196901
8.641955, -9.058311, 9.369218, 8.272415
8.670179, -9.193896, 9.598598, 8.357877
8.697408, -9.342729, 9.826492, 8.449222
8.725709, -9.513783, 10.0451, 8.569328
8.753176, -9.696878, 10.27219, 8.698113
8.780589, -9.890918, 10.51229, 8.836068
8.80918, -10.09107, 10.76432, 8.971042
8.836488, -10.28937, 11.02905, 9.098806
8.864106, -10.48455, 11.31259, 9.220682
8.892265, -10.69954, 11.61603, 9.337299
8.919476, -10.94802, 11.94695, 9.469547
8.948911, -11.23063, 12.26683, 9.639371
8.975167, -11.56746, 12.5532, 9.846663
9.004351, -11.94486, 12.79612, 10.09898
9.03174, -12.35799, 12.99011, 10.39898
9.058918, -12.79766, 13.13431, 10.7247
9.087352, -13.28136, 13.27751, 11.09473
9.115833, -13.7973, 13.44646, 11.48281
9.141998, -14.32912, 13.65512, 11.88568
9.169944, -14.85774, 13.89347, 12.28858
9.197516, -15.38139, 14.17164, 12.65964
9.224989, -15.90536, 14.49235, 12.99376
9.253397, -16.42561, 14.87177, 13.27706
9.28078, -16.97997, 15.31931, 13.51497
9.308683, -17.61474, 15.79679, 13.73585
9.336944, -18.28554, 16.2939, 13.96724
9.363754, -19.0437, 16.81662, 14.05627
9.392828, -19.83867, 17.35361, 14.25462
9.419364, -20.66752, 17.90583, 14.41415
9.447384, -21.49449, 18.46713, 14.53247
9.475607, -22.29376, 19.01766, 14.62124
9.502876, -23.04972, 19.57197, 14.6025
9.53074, -23.73634, 20.10217, 14.54847
9.558409, -24.36431, 20.57695, 14.47665
9.585999, -24.95881, 20.99188, 14.36881
9.614119, -25.54777, 21.3495, 14.25181
9.641485, -26.18328, 21.72025, 14.13803
9.670246, -26.8646, 22.05493, 14.08387
9.69705, -27.57732, 22.30824, 14.09556
9.724803, -28.33411, 22.502, 14.18578
9.753142, -29.14644, 22.64494, 14.32585
9.780657, -30.01511, 22.75021, 14.48599
9.808664, -30.92241, 22.85584, 14.63177
9.835905, -31.86143, 22.9882, 14.72465
9.863755, -32.86176, 23.12254, 14.76039
9.892529, -33.81918, 23.25024, 14.69353
9.919018, -34.77406, 23.36798, 14.52256
9.948708, -35.75019, 23.44966, 14.32059
9.974779, -36.7092, 23.48119, 14.1374
10.00282, -37.6587, 23.49224, 13.98364
10.03061, -38.60435, 23.44999, 13.87947
10.05815, -39.43383, 23.35241, 13.81223
10.08659, -40.1932, 23.22004, 13.7737
10.11429, -40.87477, 23.0518, 13.70037
10.14148, -41.50942, 22.87375, 13.56266
10.16955, -42.10495, 22.65406, 13.32547
10.19679, -42.65976, 22.39504, 13.02277
10.22439, -43.19407, 22.09771, 12.63691
10.25228, -43.72014, 21.77628, 12.22752
10.2805, -44.23141, 21.41196, 11.78101
10.30786, -44.75844, 21.03954, 11.29705
10.33537, -45.31428, 20.64688, 10.81072
10.36376, -45.9133, 20.23032, 10.33554
10.39118, -46.56722, 19.77509, 9.936263
10.41945, -47.17701, 19.26608, 9.621714
10.44795, -47.77811, 18.73223, 9.387975
10.47499, -48.329, 18.16469, 9.275147
10.50253, -48.84711, 17.60817, 9.245181
10.53008, -49.31829, 17.0674, 9.267813
10.55758, -49.76426, 16.5221, 9.303666
10.58494, -50.15962, 15.93344, 9.355636
10.61368, -50.50542, 15.24778, 9.423082
10.64076, -50.84001, 14.46881, 9.466142
10.66856, -51.19611, 13.61364, 9.446353
10.69628, -51.60358, 12.66034, 9.331446
10.72395, -52.03688, 11.61128, 9.12658
10.75203, -52.52351, 10.50451, 8.83122
10.7798, -53.04431, 9.338393, 8.493986
10.80678, -53.57774, 8.139647, 8.144855
10.83512, -54.09906, 6.946277, 7.806126
10.86266, -54.60228, 5.824098, 7.497058
10.8902, -55.07224, 4.805097, 7.223929
10.91849, -55.51731, 3.934376, 6.970632
10.94666, -55.9475, 3.19941, 6.741918
10.97377, -56.33995, 2.572073, 6.536421
11.00167, -56.71357, 2.061181, 6.341153
11.02949, -57.06938, 1.649838, 6.161348
11.05726, -57.38954, 1.314922, 6.014119
11.0848, -57.68598, 1.082275, 5.880533
11.11451, -57.96117, 0.9387863, 5.753944
11.14074, -58.21077, 0.8645667, 5.625805
11.16866, -58.43884, 0.8453411, 5.496472
11.19557, -58.6363, 0.8543211, 5.37775
11.22364, -58.80468, 0.8568369, 5.26105
11.25144, -58.916, 0.8586619, 5.152558
11.27905, -59.00874, 0.8616194, 5.040728
11.30699, -59.07074, 0.8598006, 4.927401
11.33517, -59.11469, 0.8623004, 4.809497
11.36236, -59.13831, 0.8572935, 4.699405
11.39028, -59.12787, 0.8497278, 4.61694
11.41839, -59.09262, 0.8341562, 4.562697
11.45126, -59.00954, 0.8161334, 4.547518
11.47938, -58.92666, 0.8122882, 4.540967
11.51108, -58.83464, 0.8106001, 4.549284
11.54728, -58.74728, 0.82377, 4.553458
11.57367, -58.66855, 0.829923, 4.563943
11.59856, -58.60598, 0.8400003, 4.57864
11.62661, -58.55567, 0.8425589, 4.595933
11.65451, -58.51959, 0.8469599, 4.611888
11.68207, -58.51353, 0.8561515, 4.616813
11.71022, -58.51276, 0.8604831, 4.610954
11.73783, -58.5321, 0.8446465, 4.587274
11.76537, -58.57087, 0.8084246, 4.558489
11.7937, -58.62289, 0.7399282, 4.508412
11.82102, -58.68157, 0.6361217, 4.420446
11.84909, -58.77386, 0.5147229, 4.284229
11.87683, -58.86651, 0.3443497, 4.106275
11.90402, -58.98756, 0.1341704, 3.853461
11.93281, -59.1293, -0.1297215, 3.553414
