range,posture,start,end,
225,Standing,57711,58734,
225,Standing,57711,58752,
225,Standing,57711,58764,
225,Standing,57711,58781,
225,Standing,57711,58793,
225,Standing,57711,58808,
225,Standing,57711,58820,
225,Standing,57711,58832,
225,Standing,57711,58850,
225,Standing,57711,58862,
225,Standing,57711,58874,
225,Standing,57711,58892,
225,Standing,57711,58904,
225,Standing,57711,58919,
225,Standing,60319,60332,
225,Standing,60319,60349,
225,Standing,60319,60361,
225,Standing,60319,60379,
225,Standing,60319,60391,
225,Standing,60319,60405,
225,Standing,60319,60418,
225,Standing,60319,60430,
225,Standing,60319,60447,
225,Standing,60319,60460,
225,Standing,60319,60477,
225,Standing,60319,60487,
225,Standing,60319,60499,
225,Standing,60319,60529,
225,Standing,60319,60546,
225,Standing,60319,60558,
225,Standing,60319,60570,
225,Standing,60319,60585,
225,Standing,60319,60598,
225,Standing,60319,60610,
225,Standing,60319,60627,
225,Standing,60319,60640,
225,Standing,60319,60657,
225,Standing,60319,60669,
225,Standing,60319,60682,
225,Standing,60319,60696,
225,Standing,60319,60708,
225,Standing,60319,60721,
225,Standing,60319,60738,
225,Standing,60319,60750,
225,Standing,60319,60766,
225,Standing,60319,60778,
225,Standing,60319,60790,
225,Standing,60319,60808,
225,Standing,60319,60820,
225,Standing,60319,60836,
225,Standing,60319,60850,
225,Standing,60319,60862,
225,Standing,60319,60876,
225,Standing,60319,60889,
225,Standing,60319,60906,
225,Standing,60319,60918,
225,Standing,60319,60931,
225,Standing,60319,60948,
225,Standing,60319,60960,
225,Standing,60319,60973,
225,Standing,60319,60987,
225,Standing,60319,60999,
225,Standing,60319,61017,
225,Standing,60319,61029,
225,Standing,60319,61041,
225,Standing,60319,61057,
225,Standing,60319,61074,
225,Standing,60319,61099,
225,Standing,60319,61130,
225,Standing,60319,61155,
225,Standing,60319,61172,
225,Standing,60319,61185,
225,Standing,60319,61202,
225,Standing,60319,61214,
225,Standing,60319,61229,
225,Standing,60319,61246,
225,Standing,60319,61258,
225,Standing,60319,61274,
225,Standing,60319,61286,
225,Standing,60319,61302,
225,Standing,60319,61315,
225,Standing,60319,61332,
225,Standing,60319,61344,
225,Standing,60319,61360,
225,Standing,60319,61372,
225,Standing,60319,61389,
225,Standing,60319,61402,
135,Standing,74900,74912,
135,Standing,74900,74927,
135,Standing,74900,74939,
135,Standing,74900,74956,
135,Standing,74900,74969,
135,Standing,74900,74981,
135,Standing,74900,74996,
135,Standing,74900,75009,
135,Standing,74900,75021,
135,Standing,74900,75037,
135,Standing,74900,75051,
135,Standing,74900,75067,
135,Standing,74900,75079,
135,Standing,74900,75091,
135,Standing,74900,75107,
135,Standing,74900,75119,
135,Standing,74900,75137,
135,Standing,74900,75149,
135,Standing,74900,75161,
135,Standing,74900,75179,
135,Standing,74900,75191,
135,Standing,74900,75205,
135,Standing,74900,75217,
135,Standing,74900,75230,
135,Standing,74900,75247,
135,Standing,74900,75259,
135,Standing,74900,75272,
135,Standing,74900,75287,
135,Standing,74900,75299,
135,Standing,74900,75312,
135,Standing,74900,75329,
135,Standing,74900,75345,
135,Standing,74900,75358,
135,Standing,74900,75370,
135,Standing,74900,75385,
135,Standing,74900,75398,
135,Standing,74900,75410,
135,Standing,74900,75427,
135,Standing,74900,75440,
135,Standing,74900,75457,
135,Standing,74900,75469,
135,Standing,74900,75482,
135,Standing,74900,75508,
135,Standing,74900,75526,
135,Standing,74900,75538,
135,Standing,74900,75550,
135,Standing,74900,75566,
135,Standing,74900,75578,
135,Standing,74900,75595,
135,Standing,74900,75608,
135,Standing,74900,75620,
135,Standing,74900,75636,
135,Standing,74900,75649,
135,Standing,74900,75664,
135,Standing,74900,75676,
135,Standing,74900,75688,
135,Standing,74900,75706,
135,Standing,74900,75718,
135,Standing,74900,75730,
135,Standing,74900,75745,
135,Standing,74900,75757,
135,Standing,74900,75774,
135,Standing,74900,75787,
135,Standing,74900,75804,
135,Standing,74900,75816,
135,Standing,74900,75829,
135,Standing,74900,75844,
135,Standing,74900,75856,
135,Standing,74900,75869,
135,Standing,74900,75886,
135,Standing,74900,75898,
135,Standing,74900,75911,
135,Standing,74900,75928,
135,Standing,74900,75940,
135,Standing,74900,75955,
135,Standing,74900,75967,
135,Standing,74900,75979,
135,Standing,74900,75997,
135,Standing,74900,76009,
135,Standing,74900,76023,
135,Standing,74900,76036,
135,Standing,77342,77355,
135,Standing,77342,77367,
135,Standing,77342,77379,
135,Standing,77342,77396,
135,Standing,77342,77409,
135,Standing,77342,77426,
135,Standing,77342,77438,
135,Standing,77342,77451,
135,Standing,77342,77466,
135,Standing,77342,77478,
135,Standing,77342,77496,
135,Standing,77342,77508,
135,Standing,77342,77520,
135,Standing,77342,77535,
135,Standing,77342,77547,
135,Standing,77342,77564,
135,Standing,77342,77577,
135,Standing,77342,77589,
135,Standing,77342,77606,
135,Standing,77342,77619,
135,Standing,77342,77633,
135,Standing,77342,77645,
135,Standing,77342,77663,
135,Standing,77342,77675,
135,Standing,77342,77687,
135,Standing,77342,77700,
135,Standing,77342,77717,
135,Standing,77342,77729,
135,Standing,77342,77745,
135,Standing,77342,77757,
135,Standing,77342,77769,
135,Standing,77342,77787,
135,Standing,77342,77801,
135,Standing,77342,77813,
135,Standing,77342,77826,
135,Standing,77342,77838,
135,Standing,77342,77855,
135,Standing,77342,77868,
135,Standing,77342,77885,
135,Standing,77342,77897,
135,Standing,77342,77910,
135,Standing,77342,77924,
135,Standing,77342,77936,
135,Standing,77342,77954,
135,Standing,77342,77966,
135,Standing,77342,77978,
135,Standing,77342,77996,
135,Standing,77342,78008,
135,Standing,77342,78023,
135,Standing,77342,78035,
135,Standing,77342,78048,
135,Standing,77342,78065,
135,Standing,77342,78092,
135,Standing,77342,78104,
135,Standing,77342,78121,
135,Standing,77342,78134,
135,Standing,77342,78146,
135,Standing,77342,78158,
135,Standing,77342,78176,
135,Standing,77342,78188,
135,Standing,77342,78202,
135,Standing,77342,78215,
135,Standing,77342,78227,
135,Standing,77342,78244,
135,Standing,77342,78257,
135,Standing,77342,78274,
135,Standing,77342,78284,
135,Standing,77342,78297,
135,Standing,77342,78314,
135,Standing,77342,78331,
135,Standing,77342,78344,
135,Standing,77342,78356,
135,Standing,77342,78368,
135,Standing,77342,78383,
135,Standing,77342,78395,
135,Standing,77342,78407,
135,Standing,79551,79563,
135,Standing,79551,79576,
135,Standing,79551,79591,
135,Standing,79551,79603,
135,Standing,79551,79621,
135,Standing,79551,79633,
135,Standing,79551,79649,
135,Standing,79551,79662,
135,Standing,79551,79674,
135,Standing,79551,79689,
135,Standing,79551,79702,
135,Standing,79551,79714,
135,Standing,79551,79731,
135,Standing,79551,79744,
